"variable","index","virus","period","coprimary","hh_size","type","inc_mean","inc_sd","x_A","mean_value","upper_value","lower_value"
"alpha",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"0.41","0.21","0.83"
"alpha",34,"cov","All Omicron",FALSE,"2or3","All",2.6,1,0.35,"0.71","0.23","1.63"
"alpha",35,"cov","All Omicron",FALSE,"4p","All",2.6,1,0.35,"0.76","0.36","1.52"
"presymp",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"0.31","0.24","0.38"
"presymp",34,"cov","All Omicron",FALSE,"2or3","All",2.6,1,0.35,"0.27","0.19","0.35"
"presymp",35,"cov","All Omicron",FALSE,"4p","All",2.6,1,0.35,"0.48","0.38","0.60"
"p_E",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"0.24","0.03","0.55"
"p_E",34,"cov","All Omicron",FALSE,"2or3","All",2.6,1,0.35,"0.57","0.18","0.79"
"p_E",35,"cov","All Omicron",FALSE,"4p","All",2.6,1,0.35,"0.19","0.03","0.46"
"period_E",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"0.64","0.08","1.42"
"period_E",34,"cov","All Omicron",FALSE,"2or3","All",2.6,1,0.35,"1.48","0.47","2.05"
"period_E",35,"cov","All Omicron",FALSE,"4p","All",2.6,1,0.35,"0.51","0.09","1.20"
"period_P",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"1.96","1.18","2.52"
"period_P",34,"cov","All Omicron",FALSE,"2or3","All",2.6,1,0.35,"1.12","0.55","2.13"
"period_P",35,"cov","All Omicron",FALSE,"4p","All",2.6,1,0.35,"2.09","1.40","2.51"
"mu_inv",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"1.68","1.44","1.94"
"mu_inv",34,"cov","All Omicron",FALSE,"2or3","All",2.6,1,0.35,"1.83","1.53","2.17"
"mu_inv",35,"cov","All Omicron",FALSE,"4p","All",2.6,1,0.35,"1.57","1.17","2.06"
