"variable","model","gen","index","virus","period","coprimary","hh_size","type","inc_mean","inc_sd","x_A","mean_value","upper_value","lower_value"
"mean","indep","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"3.3","3.2","3.5"
"mean","indep","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"3.0","2.8","3.1"
"mean","mech","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"3.5","3.3","3.7"
"mean","mech","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"3.0","2.8","3.1"
"sd","indep","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"1.5","1.3","1.7"
"sd","indep","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"1.3","1.2","1.5"
"sd","mech","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"2.1","1.9","2.3"
"sd","mech","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"1.8","1.6","1.9"
"presymp","indep","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"0.4","0.3","0.4"
"presymp","indep","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"0.4","0.4","0.5"
"presymp","mech","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"0.3","0.2","0.4"
"presymp","mech","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"0.4","0.3","0.5"
"beta","indep","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"2.5","2.4","2.7"
"beta","indep","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"NaN","NA","NA"
"beta","mech","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"2.5","2.4","2.7"
"beta","mech","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"NaN","NA","NA"
"ll_vec","indep","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"-4475.9","-4557.5","-4397.7"
"ll_vec","indep","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"NaN","NA","NA"
"ll_vec","mech","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"-4880.6","-4959.2","-4794.1"
"ll_vec","mech","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"NaN","NA","NA"
