"variable","model","gen","index","virus","period","coprimary","hh_size","type","inc_mean","inc_sd","x_A","mean_value","upper_value","lower_value"
"presymp","mech","Realized",22,"cov","BA4",FALSE,"1p","All",2.6,1,0.35,"0.4","0.4","0.5"
"presymp","mech","Realized",23,"cov","XBB",FALSE,"1p","All",2.6,1,0.35,"0.4","0.3","0.6"
"beta","indep","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"2.5","2.4","2.7"
"beta","indep","Intrinsic",21,"cov","BA1",FALSE,"1p","All",2.6,1,0.35,"2.8","2.5","3.2"
"beta","indep","Intrinsic",22,"cov","BA4",FALSE,"1p","All",2.6,1,0.35,"2.6","2.4","2.9"
"beta","indep","Intrinsic",23,"cov","XBB",FALSE,"1p","All",2.6,1,0.35,"2.0","1.6","2.3"
"beta","indep","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"NaN","NA","NA"
"beta","indep","Realized",21,"cov","BA1",FALSE,"1p","All",2.6,1,0.35,"NaN","NA","NA"
"beta","indep","Realized",22,"cov","BA4",FALSE,"1p","All",2.6,1,0.35,"NaN","NA","NA"
"beta","indep","Realized",23,"cov","XBB",FALSE,"1p","All",2.6,1,0.35,"NaN","NA","NA"
"beta","mech","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"2.5","2.4","2.7"
"beta","mech","Intrinsic",21,"cov","BA1",FALSE,"1p","All",2.6,1,0.35,"2.8","2.5","3.2"
"beta","mech","Intrinsic",22,"cov","BA4",FALSE,"1p","All",2.6,1,0.35,"2.7","2.4","2.9"
"beta","mech","Intrinsic",23,"cov","XBB",FALSE,"1p","All",2.6,1,0.35,"2.0","1.6","2.3"
"beta","mech","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"NaN","NA","NA"
"beta","mech","Realized",21,"cov","BA1",FALSE,"1p","All",2.6,1,0.35,"NaN","NA","NA"
"beta","mech","Realized",22,"cov","BA4",FALSE,"1p","All",2.6,1,0.35,"NaN","NA","NA"
"beta","mech","Realized",23,"cov","XBB",FALSE,"1p","All",2.6,1,0.35,"NaN","NA","NA"
"ll_vec","indep","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"-4475.9","-4557.5","-4397.7"
"ll_vec","indep","Intrinsic",21,"cov","BA1",FALSE,"1p","All",2.6,1,0.35,"-1306.9","-1349.9","-1262.4"
"ll_vec","indep","Intrinsic",22,"cov","BA4",FALSE,"1p","All",2.6,1,0.35,"-2375.3","-2430.7","-2321.0"
