"variable","model","gen","index","virus","period","coprimary","hh_size","type","inc_mean","inc_sd","x_A","mean_value","upper_value","lower_value"
"mean","indep","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"3.3","3.2","3.5"
"mean","indep","Intrinsic",34,"cov","All Omicron",FALSE,"2or3","All",2.6,1,0.35,"3.6","3.4","3.9"
"mean","indep","Intrinsic",35,"cov","All Omicron",FALSE,"4p","All",2.6,1,0.35,"2.8","2.5","3.1"
"mean","indep","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"3.0","2.8","3.1"
"mean","indep","Realized",34,"cov","All Omicron",FALSE,"2or3","All",2.6,1,0.35,"3.2","3.1","3.4"
"mean","indep","Realized",35,"cov","All Omicron",FALSE,"4p","All",2.6,1,0.35,"2.5","2.3","2.7"
"mean","mech","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"3.5","3.3","3.7"
"mean","mech","Intrinsic",34,"cov","All Omicron",FALSE,"2or3","All",2.6,1,0.35,"3.8","3.6","4.1"
"mean","mech","Intrinsic",35,"cov","All Omicron",FALSE,"4p","All",2.6,1,0.35,"3.0","2.7","3.3"
"mean","mech","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"3.0","2.8","3.1"
"mean","mech","Realized",34,"cov","All Omicron",FALSE,"2or3","All",2.6,1,0.35,"3.3","3.1","3.5"
"mean","mech","Realized",35,"cov","All Omicron",FALSE,"4p","All",2.6,1,0.35,"2.5","2.3","2.7"
"sd","indep","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"1.5","1.3","1.7"
"sd","indep","Intrinsic",34,"cov","All Omicron",FALSE,"2or3","All",2.6,1,0.35,"1.5","1.3","1.9"
"sd","indep","Intrinsic",35,"cov","All Omicron",FALSE,"4p","All",2.6,1,0.35,"1.4","1.0","2.0"
"sd","indep","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"1.3","1.2","1.5"
"sd","indep","Realized",34,"cov","All Omicron",FALSE,"2or3","All",2.6,1,0.35,"1.4","1.2","1.6"
"sd","indep","Realized",35,"cov","All Omicron",FALSE,"4p","All",2.6,1,0.35,"1.2","1.0","1.5"
"sd","mech","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"2.1","1.9","2.3"
"sd","mech","Intrinsic",34,"cov","All Omicron",FALSE,"2or3","All",2.6,1,0.35,"2.1","1.8","2.4"
"sd","mech","Intrinsic",35,"cov","All Omicron",FALSE,"4p","All",2.6,1,0.35,"1.9","1.6","2.3"
"sd","mech","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"1.8","1.6","1.9"
"sd","mech","Realized",34,"cov","All Omicron",FALSE,"2or3","All",2.6,1,0.35,"1.8","1.6","1.9"
"sd","mech","Realized",35,"cov","All Omicron",FALSE,"4p","All",2.6,1,0.35,"1.6","1.4","1.8"
