"variable","model","gen","index","virus","period","coprimary","hh_size","type","inc_mean","inc_sd","x_A","mean_value","upper_value","lower_value"
"mean","indep","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"3.3","3.2","3.5"
"mean","indep","Intrinsic",36,"cov","All Omicron",FALSE,"1p","All",2.9,1.3,0.35,"3.2","3.0","3.4"
"mean","indep","Intrinsic",37,"cov","All Omicron",FALSE,"1p","All",3.7,1.6,0.35,"3.0","2.9","3.2"
"mean","indep","Intrinsic",38,"cov","All Omicron",FALSE,"1p","All",5.8,3.1,0.35,"1.7","1.4","2.1"
"mean","indep","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"3.0","2.8","3.1"
"mean","indep","Realized",36,"cov","All Omicron",FALSE,"1p","All",2.9,1.3,0.35,"2.9","2.7","3.1"
"mean","indep","Realized",37,"cov","All Omicron",FALSE,"1p","All",3.7,1.6,0.35,"2.9","2.7","3.1"
"mean","indep","Realized",38,"cov","All Omicron",FALSE,"1p","All",5.8,3.1,0.35,"1.6","1.3","1.9"
"mean","mech","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"3.5","3.3","3.7"
"mean","mech","Intrinsic",36,"cov","All Omicron",FALSE,"1p","All",2.9,1.3,0.35,"3.5","3.3","3.7"
"mean","mech","Intrinsic",37,"cov","All Omicron",FALSE,"1p","All",3.7,1.6,0.35,"3.7","3.5","3.9"
"mean","mech","Intrinsic",38,"cov","All Omicron",FALSE,"1p","All",5.8,3.1,0.35,"4.0","3.8","4.3"
"mean","mech","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"3.0","2.8","3.1"
"mean","mech","Realized",36,"cov","All Omicron",FALSE,"1p","All",2.9,1.3,0.35,"3.0","2.8","3.2"
"mean","mech","Realized",37,"cov","All Omicron",FALSE,"1p","All",3.7,1.6,0.35,"3.1","2.9","3.4"
"mean","mech","Realized",38,"cov","All Omicron",FALSE,"1p","All",5.8,3.1,0.35,"2.7","2.5","3.0"
"sd","indep","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"1.5","1.3","1.7"
"sd","indep","Intrinsic",36,"cov","All Omicron",FALSE,"1p","All",2.9,1.3,0.35,"1.2","0.8","1.5"
"sd","indep","Intrinsic",37,"cov","All Omicron",FALSE,"1p","All",3.7,1.6,0.35,"0.6","0.4","1.1"
"sd","indep","Intrinsic",38,"cov","All Omicron",FALSE,"1p","All",5.8,3.1,0.35,"0.7","0.4","1.0"
"sd","indep","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"1.3","1.2","1.5"
"sd","indep","Realized",36,"cov","All Omicron",FALSE,"1p","All",2.9,1.3,0.35,"1.1","0.8","1.3"
"sd","indep","Realized",37,"cov","All Omicron",FALSE,"1p","All",3.7,1.6,0.35,"0.6","0.4","1.0"
"sd","indep","Realized",38,"cov","All Omicron",FALSE,"1p","All",5.8,3.1,0.35,"0.6","0.4","0.9"
"sd","mech","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"2.1","1.9","2.3"
"sd","mech","Intrinsic",36,"cov","All Omicron",FALSE,"1p","All",2.9,1.3,0.35,"2.0","1.8","2.2"
"sd","mech","Intrinsic",37,"cov","All Omicron",FALSE,"1p","All",3.7,1.6,0.35,"1.9","1.8","2.1"
"sd","mech","Intrinsic",38,"cov","All Omicron",FALSE,"1p","All",5.8,3.1,0.35,"3.0","3.0","3.1"
"sd","mech","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"1.8","1.6","1.9"
"sd","mech","Realized",36,"cov","All Omicron",FALSE,"1p","All",2.9,1.3,0.35,"1.7","1.6","1.9"
"sd","mech","Realized",37,"cov","All Omicron",FALSE,"1p","All",3.7,1.6,0.35,"1.7","1.5","1.9"
"sd","mech","Realized",38,"cov","All Omicron",FALSE,"1p","All",5.8,3.1,0.35,"2.1","2.0","2.3"
"presymp","indep","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"0.4","0.3","0.4"
"presymp","indep","Intrinsic",36,"cov","All Omicron",FALSE,"1p","All",2.9,1.3,0.35,"0.4","0.4","0.5"
"presymp","indep","Intrinsic",37,"cov","All Omicron",FALSE,"1p","All",3.7,1.6,0.35,"0.6","0.6","0.7"
"presymp","indep","Intrinsic",38,"cov","All Omicron",FALSE,"1p","All",5.8,3.1,0.35,"0.9","0.9","1.0"
"presymp","indep","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"0.4","0.4","0.5"
"presymp","indep","Realized",36,"cov","All Omicron",FALSE,"1p","All",2.9,1.3,0.35,"0.5","0.4","0.5"
"presymp","indep","Realized",37,"cov","All Omicron",FALSE,"1p","All",3.7,1.6,0.35,"0.7","0.6","0.7"
"presymp","indep","Realized",38,"cov","All Omicron",FALSE,"1p","All",5.8,3.1,0.35,"1.0","0.9","1.0"
"presymp","mech","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"0.3","0.2","0.4"
"presymp","mech","Intrinsic",36,"cov","All Omicron",FALSE,"1p","All",2.9,1.3,0.35,"0.4","0.3","0.5"
"presymp","mech","Intrinsic",37,"cov","All Omicron",FALSE,"1p","All",3.7,1.6,0.35,"0.6","0.5","0.8"
"presymp","mech","Intrinsic",38,"cov","All Omicron",FALSE,"1p","All",5.8,3.1,0.35,"1.0","0.9","1.0"
"presymp","mech","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"0.4","0.3","0.5"
"presymp","mech","Realized",36,"cov","All Omicron",FALSE,"1p","All",2.9,1.3,0.35,"0.5","0.4","0.6"
"presymp","mech","Realized",37,"cov","All Omicron",FALSE,"1p","All",3.7,1.6,0.35,"0.7","0.6","0.8"
"presymp","mech","Realized",38,"cov","All Omicron",FALSE,"1p","All",5.8,3.1,0.35,"1.0","1.0","1.0"
"beta","indep","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"2.5","2.4","2.7"
"beta","indep","Intrinsic",36,"cov","All Omicron",FALSE,"1p","All",2.9,1.3,0.35,"2.5","2.4","2.7"
"beta","indep","Intrinsic",37,"cov","All Omicron",FALSE,"1p","All",3.7,1.6,0.35,"2.5","2.4","2.7"
"beta","indep","Intrinsic",38,"cov","All Omicron",FALSE,"1p","All",5.8,3.1,0.35,"2.5","2.3","2.7"
"beta","indep","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"NaN","NA","NA"
"beta","indep","Realized",36,"cov","All Omicron",FALSE,"1p","All",2.9,1.3,0.35,"NaN","NA","NA"
"beta","indep","Realized",37,"cov","All Omicron",FALSE,"1p","All",3.7,1.6,0.35,"NaN","NA","NA"
"beta","indep","Realized",38,"cov","All Omicron",FALSE,"1p","All",5.8,3.1,0.35,"NaN","NA","NA"
"beta","mech","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"2.5","2.4","2.7"
"beta","mech","Intrinsic",36,"cov","All Omicron",FALSE,"1p","All",2.9,1.3,0.35,"2.6","2.4","2.7"
"beta","mech","Intrinsic",37,"cov","All Omicron",FALSE,"1p","All",3.7,1.6,0.35,"2.6","2.4","2.8"
"beta","mech","Intrinsic",38,"cov","All Omicron",FALSE,"1p","All",5.8,3.1,0.35,"2.9","2.7","3.1"
"beta","mech","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"NaN","NA","NA"
"beta","mech","Realized",36,"cov","All Omicron",FALSE,"1p","All",2.9,1.3,0.35,"NaN","NA","NA"
"beta","mech","Realized",37,"cov","All Omicron",FALSE,"1p","All",3.7,1.6,0.35,"NaN","NA","NA"
"beta","mech","Realized",38,"cov","All Omicron",FALSE,"1p","All",5.8,3.1,0.35,"NaN","NA","NA"
"ll_vec","indep","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"-4475.9","-4557.5","-4397.7"
"ll_vec","indep","Intrinsic",36,"cov","All Omicron",FALSE,"1p","All",2.9,1.3,0.35,"-4654.2","-4773.8","-4485.0"
"ll_vec","indep","Intrinsic",37,"cov","All Omicron",FALSE,"1p","All",3.7,1.6,0.35,"-4558.5","-4902.0","-4253.9"
"ll_vec","indep","Intrinsic",38,"cov","All Omicron",FALSE,"1p","All",5.8,3.1,0.35,"-5214.0","-5451.9","-4984.7"
"ll_vec","indep","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"NaN","NA","NA"
"ll_vec","indep","Realized",36,"cov","All Omicron",FALSE,"1p","All",2.9,1.3,0.35,"NaN","NA","NA"
"ll_vec","indep","Realized",37,"cov","All Omicron",FALSE,"1p","All",3.7,1.6,0.35,"NaN","NA","NA"
"ll_vec","indep","Realized",38,"cov","All Omicron",FALSE,"1p","All",5.8,3.1,0.35,"NaN","NA","NA"
"ll_vec","mech","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"-4880.6","-4959.2","-4794.1"
"ll_vec","mech","Intrinsic",36,"cov","All Omicron",FALSE,"1p","All",2.9,1.3,0.35,"-5173.3","-5272.6","-5032.5"
"ll_vec","mech","Intrinsic",37,"cov","All Omicron",FALSE,"1p","All",3.7,1.6,0.35,"-5416.8","-5552.2","-5213.7"
"ll_vec","mech","Intrinsic",38,"cov","All Omicron",FALSE,"1p","All",5.8,3.1,0.35,"-6344.3","-6425.0","-6265.5"
"ll_vec","mech","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"NaN","NA","NA"
"ll_vec","mech","Realized",36,"cov","All Omicron",FALSE,"1p","All",2.9,1.3,0.35,"NaN","NA","NA"
"ll_vec","mech","Realized",37,"cov","All Omicron",FALSE,"1p","All",3.7,1.6,0.35,"NaN","NA","NA"
"ll_vec","mech","Realized",38,"cov","All Omicron",FALSE,"1p","All",5.8,3.1,0.35,"NaN","NA","NA"
